index,address,price,rooms,area,floor,District,Street,Country,longitude,latitude
135,Baltupiai Kalvarijų Sodų 4-oji g.,260,1,16.0,2/3,Baltupiai,Kalvarijų Sodų 4-oji g.,Lithuania,25.280134,54.728274
136,Šeškinė Siesikų g.,700,2,44.0,5/7,Šeškinė,Siesikų g.,Lithuania,25.2540264,54.7068111
137,Lazdynėliai Žaibo g.,750,2,42.0,4/4,Lazdynėliai,Žaibo g.,Lithuania,24.121971,55.106184
138,Senamiestis Tilto g.,500,1,16.0,1/3,Senamiestis,Tilto g.,Lithuania,25.2817712,54.6892593
139,Pilaitė M.Mažvydo g.,600,2,61.0,6/7,Pilaitė,M.Mažvydo g.,Lithuania,25.182761,54.706948
140,Naujamiestis Skroblų g.,320,1,21.0,4/5,Naujamiestis,Skroblų g.,Lithuania,25.254835,54.670731
141,Šnipiškės Kernavės g.,1150,3,54.0,5/6,Šnipiškės,Kernavės g.,Lithuania,25.2770623,54.7121167
142,Salininkai Vaikų g.,600,3,61.0,4/5,Salininkai,Vaikų g.,Lithuania,25.2597895,54.6081775
143,Naujamiestis Vytenio g.,750,2,50.0,2/4,Naujamiestis,Vytenio g.,Lithuania,25.2629171,54.6806792
144,Verkiai Bajorų kel.,300,1,75.44,7/11,Verkiai,Bajorų kel.,Lithuania,25.258353,54.75517
145,Baltupiai Didlaukio g.,650,2,40.99,4/4,Baltupiai,Didlaukio g.,Lithuania,25.2784789,54.7275851
146,Senamiestis Rūdninkų g.,950,2,60.0,2/3,Senamiestis,Rūdninkų g.,Lithuania,25.285116,54.6772258
147,Šnipiškės Kalvarijų g.,480,1,32.41,3/5,Šnipiškės,Kalvarijų g.,Lithuania,25.2817254,54.6949273
148,Užupis Polocko g.,1100,2,55.14,4/4,Užupis,Polocko g.,Lithuania,25.3008276,54.6812167
149,Senamiestis A.Jakšto g.,1780,3,100.0,4/6,Senamiestis,A.Jakšto g.,Lithuania,25.287693,54.683127
150,Antakalnis V.Grybo g.,990,3,93.0,4/5,Antakalnis,V.Grybo g.,Lithuania,25.312009,54.705407
151,Lazdynėliai Bukčių g.,1200,4,82.0,1/3,Lazdynėliai,Bukčių g.,Lithuania,25.2158687,54.6671298
152,Naujoji Vilnia Pramonės g.,350,1,29.0,4/4,Naujoji Vilnia,Pramonės g.,Lithuania,25.440378,54.6952323
153,Naujamiestis Vandentiekio g.,750,2,41.0,2/4,Naujamiestis,Vandentiekio g.,Lithuania,25.245021,54.667674
154,Naujamiestis Aludarių g.,1000,2,46.0,4/5,Naujamiestis,Aludarių g.,Lithuania,25.2659857,54.6866673
155,Lazdynai Architektų g.,200,1,14.0,4/5,Lazdynai,Architektų g.,Lithuania,25.2164788,54.6787988
156,Baltupiai Kalvarijų Sodų 2-oji g.,250,1,25.0,1/2,Baltupiai,Kalvarijų Sodų 2-oji g.,Lithuania,25.280134,54.728274
157,Antakalnis Mileišiškių g.,390,1,12.0,2/2,Antakalnis,Mileišiškių g.,Lithuania,25.3383781,54.7087955
158,Baltupiai Ozo g.,890,2,47.0,3/8,Baltupiai,Ozo g.,Lithuania,25.2831395,54.7142794
159,Senamiestis Gedimino pr.,1750,3,61.0,5/6,Senamiestis,Gedimino pr.,Lithuania,25.2824605,54.6865081
160,Pašilaičiai Perkūnkiemio g.,650,2,56.0,2/9,Pašilaičiai,Perkūnkiemio g.,Lithuania,25.219637,54.7387996
161,Šnipiškės Šeimyniškių g.,1600,3,67.0,5/8,Šnipiškės,Šeimyniškių g.,Lithuania,25.282158,54.6947179
162,Senamiestis Šiaulių g.,700,1,36.0,3/4,Senamiestis,Šiaulių g.,Lithuania,25.2835375,54.6766768
163,Antakalnis K.Jauniaus g.,860,3,74.0,4/5,Antakalnis,K.Jauniaus g.,Lithuania,25.69133,55.09549
